wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.2062.1.S1_at,10.76243849,10.60055015,10.78750099,10.44392023,10.59573595,10.31299698
Dr.7250.1.A1_at,11.3890519,10.62684618,11.8804644,11.03573522,11.41953306,11.11944734
Dr.21783.1.S1_at,11.8827213,11.55221885,11.52362498,10.92710932,12.0569923,11.43399077
Dr.16124.1.S1_at,8.774927319,9.097541375,8.485586041,8.964320566,8.954777099,9.560648599
Dr.16197.1.A1_at,4.09778712,3.028061717,4.525911936,3.661241842,5.699704347,4.223219356
Dr.11520.2.S1_a_at,7.312990188,9.142688081,7.718720815,8.539235204,8.315571949,9.140613371
Dr.7592.1.S2_at,9.222590614,9.456050238,9.034683518,9.422360766,9.418080611,9.673911485
Dr.25549.1.S1_at,6.161915263,6.961064675,6.091194501,6.446357717,5.637237395,6.273236535
Dr.14386.1.A1_at,7.009354069,6.572796269,6.689282246,6.406358762,6.687917685,6.046676854
Dr.14829.1.A1_at,6.512564617,7.73089242,6.617670007,7.036506524,6.796213367,7.511659251
Dr.24204.1.A1_at,9.71622461,7.678262852,9.612915013,8.899291391,9.575211497,8.444257676
Dr.4478.1.A1_at,8.130532823,7.631600691,7.940881221,7.694771753,7.763347339,7.205568982
Dr.14350.1.A1_at,9.58442789,9.919822185,9.032003317,9.5939622,8.929067175,9.771878297
Dr.88.1.A1_at,9.719036565,9.382656023,9.488743983,9.253642114,9.703348267,9.523179706
Dr.8654.2.A1_a_at,11.14664407,10.6460238,11.05610984,10.89565602,11.29915736,10.77122295
Dr.11077.1.A1_at,5.083758128,5.918338581,3.590645172,6.664495793,3.988401893,6.955528674
Dr.14827.1.A1_at,9.532545818,8.704259904,8.910539214,8.254896605,8.641530737,7.432789765
Dr.4818.1.S1_at,5.416220098,5.893368828,5.596030536,6.097881763,5.731947297,5.896109011
Dr.4213.1.S1_at,5.784379646,7.228313999,6.231286949,7.276722381,5.707776371,6.223785864
Dr.23179.1.A1_at,8.184261993,7.789369589,7.902514404,7.674616495,8.38154926,7.773068535
Dr.25141.1.A1_at,12.58391478,12.86800337,12.86703799,13.05807498,12.53679599,12.81736879
Dr.9723.1.A1_at,7.644281211,7.958665775,7.55620914,7.902824544,7.131035545,7.561353597
Dr.9836.1.S1_at,3.519974228,3.296001585,4.055486001,3.494871899,3.956057019,3.455868049
Dr.18071.2.A1_at,7.017108652,6.486719286,7.261141849,6.591500345,6.472829362,6.089564599
Dr.2671.1.S1_at,6.834315074,7.406126808,7.648817188,8.19456125,6.91609335,7.60125773
Dr.15595.1.S1_at,10.30061234,9.835509019,10.27637231,9.905489677,9.787667185,9.44809678
Dr.11588.1.S1_at,9.062475357,9.424184337,8.99342126,9.578232999,9.561227635,10.08273966
Dr.16718.2.A1_at,8.220901597,7.837627088,9.189983614,8.226840055,8.941603554,7.843577445
Dr.6798.1.S1_at,5.577603959,3.251990915,5.076569239,4.334698906,6.669308426,4.035038101
Dr.2929.2.S1_at,5.178214646,6.305095626,6.045288353,6.911756621,5.816280069,6.23870239
Dr.15383.1.A1_at,7.730878286,7.368713029,8.338156815,7.620249767,7.642286788,6.927789604
Dr.6046.1.S1_a_at,10.10173235,10.50010528,10.48002298,10.7884634,10.48632169,10.7057458
